2026-04-10 16:09:23 | GET | meus-planos-api/categorias
2026-04-10 16:09:34 | GET | meus-planos-api/itens
rias
2026-04-10 16:09:48 | GET | meus-planos-api/itens
rias
2026-04-10 16:10:43 | OPTIONS | meus-planos-api/itens/3
2026-04-10 16:10:43 | DELETE | meus-planos-api/itens/3
2026-04-10 16:10:43 | GET | meus-planos-api/itens
2026-04-10 16:10:44 | OPTIONS | meus-planos-api/itens/1
2026-04-10 16:10:44 | DELETE | meus-planos-api/itens/1
2026-04-10 16:10:44 | GET | meus-planos-api/itens
2026-04-10 16:11:15 | GET | meus-planos-api/itens
2026-04-10 16:11:15 | GET | meus-planos-api/categorias
2026-04-10 16:11:55 | GET | meus-planos-api/itens
2026-04-10 16:11:55 | GET | meus-planos-api/categorias
2026-04-10 16:12:18 | GET | meus-planos-api/itens
2026-04-10 16:12:18 | GET | meus-planos-api/categorias
2026-04-10 16:12:19 | GET | meus-planos-api/itens
2026-04-10 16:12:19 | GET | meus-planos-api/categorias
2026-04-10 16:12:23 | OPTIONS | meus-planos-api/itens
2026-04-10 16:12:23 | POST | meus-planos-api/itens
2026-04-10 16:12:38 | GET | meus-planos-api/itens
2026-04-10 16:12:38 | GET | meus-planos-api/categorias
2026-04-10 16:12:42 | OPTIONS | meus-planos-api/itens/4
2026-04-10 16:12:42 | DELETE | meus-planos-api/itens/4
2026-04-10 16:12:42 | GET | meus-planos-api/itens
2026-04-10 16:12:47 | OPTIONS | meus-planos-api/itens
2026-04-10 16:12:47 | POST | meus-planos-api/itens
2026-04-10 16:12:47 | GET | meus-planos-api/itens
2026-04-10 16:13:36 | GET | meus-planos-api/itens
2026-04-10 16:13:36 | GET | meus-planos-api/categorias
2026-04-10 16:13:46 | GET | meus-planos-api/itens
2026-04-10 16:13:46 | GET | meus-planos-api/categorias
2026-04-10 16:14:14 | GET | meus-planos-api/itens
2026-04-10 16:14:14 | GET | meus-planos-api/categorias
2026-04-10 16:14:24 | GET | meus-planos-api/itens
