31-03-2026 14:46:20 | GET | cafeteria-api/categorias
31-03-2026 14:47:41 | GET | cafeteria-api/categorias
31-03-2026 14:47:42 | GET | cafeteria-api/categorias
31-03-2026 14:47:43 | GET | cafeteria-api/categorias
31-03-2026 14:47:45 | GET | cafeteria-api/categorias
31-03-2026 14:47:51 | GET | cafeteria-api/categorias
31-03-2026 14:48:00 | GET | cafeteria-api/categorias
31-03-2026 14:48:03 | GET | cafeteria-api/categorias
31-03-2026 15:30:16 | GET | cafeteria-api/categorias
31-03-2026 15:34:05 | GET | cafeteria-api/categorias
31-03-2026 15:35:03 | GET | cafeteria-api/categorias
31-03-2026 15:35:05 | GET | cafeteria-api/categorias
31-03-2026 15:35:10 | GET | cafeteria-api/categorias
31-03-2026 15:35:33 | GET | cafeteria-api/categorias
31-03-2026 15:35:36 | GET | cafeteria-api/categorias
31-03-2026 15:35:38 | GET | cafeteria-api/categorias
31-03-2026 15:36:19 | GET | cafeteria-api/categorias
31-03-2026 15:36:30 | GET | cafeteria-api/categorias
31-03-2026 15:37:03 | GET | cafeteria-api/categorias
31-03-2026 15:37:42 | GET | cafeteria-api/categorias
31-03-2026 15:38:05 | GET | cafeteria-api/categorias
31-03-2026 15:38:09 | GET | cafeteria-api/categorias
31-03-2026 15:38:11 | GET | cafeteria-api/categorias
31-03-2026 15:38:13 | GET | cafeteria-api/categorias
31-03-2026 15:38:19 | GET | cafeteria-api/categorias
31-03-2026 15:38:20 | GET | cafeteria-api/categorias
31-03-2026 15:49:14 | GET | cafeteria-api/categorias
31-03-2026 15:49:14 | GET | cafeteria-api/categorias
31-03-2026 15:49:17 | GET | cafeteria-api/categorias
31-03-2026 15:49:18 | GET | cafeteria-api/categorias
31-03-2026 15:49:20 | GET | cafeteria-api/categorias
31-03-2026 15:49:29 | GET | cafeteria-api/categorias
31-03-2026 15:49:39 | GET | cafeteria-api/categorias
31-03-2026 15:49:50 | GET | cafeteria-api/categorias
31-03-2026 15:50:26 | GET | cafeteria-api/categorias
31-03-2026 15:50:35 | GET | cafeteria-api/categorias
31-03-2026 15:51:07 | GET | cafeteria-api/categorias
31-03-2026 15:51:35 | GET | cafeteria-api/categorias
31-03-2026 15:51:37 | GET | cafeteria-api/categorias
31-03-2026 15:51:39 | GET | cafeteria-api/categorias
31-03-2026 15:51:44 | GET | cafeteria-api/categorias
31-03-2026 15:51:57 | GET | cafeteria-api/categorias
31-03-2026 15:52:03 | GET | cafeteria-api/categorias
31-03-2026 15:52:05 | GET | cafeteria-api/categorias
31-03-2026 15:52:06 | GET | cafeteria-api/categorias
31-03-2026 15:52:08 | GET | cafeteria-api/categorias
31-03-2026 15:52:17 | GET | cafeteria-api/categorias
31-03-2026 15:52:18 | GET | cafeteria-api/categorias
31-03-2026 15:52:19 | GET | cafeteria-api/categorias
31-03-2026 15:52:20 | GET | cafeteria-api/categorias
31-03-2026 15:52:20 | GET | cafeteria-api/categorias
31-03-2026 15:52:21 | GET | cafeteria-api/categorias
31-03-2026 15:52:22 | GET | cafeteria-api/categorias
31-03-2026 15:52:34 | GET | cafeteria-api/categorias
31-03-2026 15:52:38 | GET | cafeteria-api/categorias
31-03-2026 15:52:39 | GET | cafeteria-api/categorias
31-03-2026 15:53:48 | GET | cafeteria-api/categorias
31-03-2026 15:53:49 | GET | cafeteria-api/categorias
31-03-2026 15:54:08 | GET | cafeteria-api/categorias
31-03-2026 15:56:59 | GET | cafeteria-api/categorias
31-03-2026 15:57:16 | GET | cafeteria-api/categorias
31-03-2026 15:57:19 | GET | cafeteria-api/categorias
31-03-2026 15:59:40 | GET | cafeteria-api/categorias
31-03-2026 15:59:41 | GET | cafeteria-api/categorias
31-03-2026 16:19:30 | GET | cafeteria-api/categorias
31-03-2026 16:20:44 | GET | cafeteria-api/categorias
31-03-2026 16:21:48 | GET | cafeteria-api/categorias
31-03-2026 16:21:51 | GET | cafeteria-api/categorias
31-03-2026 16:22:01 | GET | cafeteria-api/categorias
31-03-2026 16:23:04 | GET | cafeteria-api/categorias
31-03-2026 16:23:30 | GET | cafeteria-api/categorias
31-03-2026 16:23:37 | GET | cafeteria-api/categorias
31-03-2026 16:23:39 | GET | cafeteria-api/categorias
31-03-2026 16:24:28 | GET | cafeteria-api/categorias
31-03-2026 16:29:44 | GET | cafeteria-api/categorias
31-03-2026 16:32:56 | GET | cafeteria-api/categorias
31-03-2026 17:23:57 | GET | cafeteria-api/categorias
31-03-2026 17:31:53 | GET | cafeteria-api/categorias
31-03-2026 17:32:37 | GET | cafeteria-api/categorias
31-03-2026 17:33:07 | GET | cafeteria-api/categorias
31-03-2026 17:34:21 | GET | cafeteria-api/categorias
31-03-2026 17:34:42 | GET | cafeteria-api/categorias
31-03-2026 17:35:34 | GET | cafeteria-api/categorias
31-03-2026 17:35:34 | GET | cafeteria-api/categorias
31-03-2026 17:35:38 | GET | cafeteria-api/categorias
31-03-2026 17:35:46 | OPTIONS | cafeteria-api/categorias/1
31-03-2026 17:35:46 | DELETE | cafeteria-api/categorias/1
31-03-2026 17:35:46 | GET | cafeteria-api/categorias
31-03-2026 17:35:47 | OPTIONS | cafeteria-api/categorias/2
31-03-2026 17:35:47 | DELETE | cafeteria-api/categorias/2
31-03-2026 17:35:47 | GET | cafeteria-api/categorias
31-03-2026 17:35:47 | OPTIONS | cafeteria-api/categorias/3
31-03-2026 17:35:47 | DELETE | cafeteria-api/categorias/3
31-03-2026 17:35:47 | GET | cafeteria-api/categorias
31-03-2026 17:35:47 | OPTIONS | cafeteria-api/categorias/4
31-03-2026 17:35:47 | DELETE | cafeteria-api/categorias/4
31-03-2026 17:35:47 | GET | cafeteria-api/categorias
